CITY,STATE,FILENAME,ANSI_PLACENS,SPP_BOT,SPP_COM,SPP_CODE,SPP_OTHER,GENUS,SPECIES,CULTIVAR,DBH_EXACT,DBH_CLASS,CIRC_EXACT,LONG_col,LAT_col,TREE_ID,HEIGHT_EXACT,HEIGHT_CLASS,STEMS,MULTI_STEMS,WIDTH,AGE,CONDITION,RISK,FAILURE,DATE_INV,DATE_UPDATE,DATE_PLANT,STATUS,CROWN1,CROWN2,CROWNAREA,notes
Muncie,Indiana,muncie_in.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,ID_rep,,,,Multi-Stem,,,Condition,,TRAQ-Failure_Likelihood,,,,,,,,
Muskegon,Michigan,muskegon_mi.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Naperville,Illinois,naperville_il.csv,,,ROWTREE_TYPE_rep,,FAMILY,GENUS,,CULTIVAR,DIAMETER,,,x,y,OBJECTID,,,,,,,CONDITION_CLASS,,,,DATE_CHANGED,DatePlanted,,,,,"LatLong Tools, value map"
Nashville,Tennessee,nashville_tn_S.csv,,,iTreeName,,,T_GENUS,T_SPECIES,,DBH1,,,x,y,OBJECTID_12,,Height,,,,,T_CONDITION,,,,,,,,,,LatLong Tools
New Bedford,Massachusetts,newbedford_ma.csv,,ScientName,CommonName,,,Genus,Species,,Dbh1,,,Longitude,Latitude,OBJECTID,,HeightClas,Stems,,,AgeClass,Condition,TRARiskRat,TRAFailure,,LastUpda,,,CanRadius,,,
New Haven,Connecticut,newhaven_ct.csv,,,COMM_NAME,,,,,,DBH,,,LONG,LAT,OBJECTID,,,,,,,,,,INV_DATE,last_edited_date,,,,,,
Newton,Massachusetts,newton_ma.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,,,,,,,
New York,New York,newyork_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,x_rep,y_rep,OBJECTID,,,,,,,TPCondition,RiskRating,,CreatedDate,UpdatedDate,PlantedDate,TPStructure,,,,"spp processed in R. location processed in R, status (TPSTRUCTURE = 'Full')"
Norfolk,Virginia,norfolk_va.csv,,,Common Name,,,Genus,Species,,Trunk Diameter,Trunk Diameter Range,,Longitude,Latitude,Tree ID,,,,,,,,,,,,,,,,,
Normal,Illinois,normal_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Novi,Michigan,novi_mi.csv,,SPECIES,COMMONNAME,,,,,,,DBH,,x1,y1,OBJECTID,,,,,,,,,,INVDATE,,PLANTDATE,,,,,LatLongTools
O'Fallon,Illinois,ofallon_il.csv,,TREESPECIES,COMMON_NAME,,,TREEGENUS,,,TREECALIPER,,,LONGITUDE,LATITUDE,OBJECTID,TREEHEIGHT,,,,,,CONDITION,,,TREECALIPERDATE,,TREEPLANTDATE,,,,,
Palmetto Bay,Florida,palmettobay_fl.csv,,Scientific,CommonName,,,,,,DBH,,,X,Y,MainID,,,,,,,StructureC,,,,,,,,,,
Park Ridge,Illinois,parkridge_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,Trunks,,,,,,,,,,,,,,
Philadelphia,Pennsylvania,philadelphia_pa.csv,,tree_name,,,,,,,tree_dbh,,,loc_x,loc_y,objectid,,,,,,,,,,,,,,,,,
Pinellas County,Florida,pinellas_fl.csv,,,,SPECIES,,,,,DBH,DBH_CLASSES,,x,y,OBJECTID,HEIGHT_TOTAL,,,,,,CONDITIONRATING,,,DATE_,,INSTALLDATE,,CROWNWIDTH_NS,CROWNWIDTH_EW,,
Pittsburgh,Pennsylvania,pittsburgh_pa.csv,,scientific_name,common_name,,,,,,diameter_base_height,,,longitude,latitude,_id,height,,,,width,,condition,,,,,,,,,,
Pompano Beach,Florida,pompanobeach_fl.csv,,BotanName_str,CommonName_str,,,,,,DIAMETER,DBH_str,,x,y,OBJECTID,ExactHeight,HEIGHT_str,,,,,Condition_str,,,,,,,,,,LatLong Tools
Portland,Maine,portland_me.csv,,BotanicalName,CommonName,,,,,,DBH,,,x,y,OBJECTID,,,,,,,TreeStatus,,,EditDate,,PlantingDate,,,,,LatLongTools
Port St. Lucie,Florida,portstlucie_fl.csv,,BotanicalName,CommonName,,,,,,DBH,,,Longitude,Latitude,OBJECTID,Height,,Trunks,,,,Condition,,,Inspected,,,,,,,
Princeton,New Jersey,princeton_nj.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Providence,Rhode Island,providence_ri.csv,,Species,,,,,,,Diameter in Inches,,,x,y,ID_str,,,,,,,,,,,,,,,,,parsed coordinates
Raleigh,North Carolina,raleigh_nc.csv,,,,SPP_CODE,,,,,DIAMETER,,,x,y,OBJECTID,,,,,,,,,,,,,,,,,LatLong Tools
Richmond,Indiana,richmond_in.csv,,SPP_BOT_rep,SPECIES_COM,,,,,,DBH,,,LONGITUDE,LATITUDE,ID_rep,,,,,,,COND,RATING,FAIL,,,,,,,,
Richmond,Virginia,richmond_va.csv,,SPP,,,,,,,DBH,,,x,y,AssetID,,,TRUNKS,,,,COND,,,,,,Status,,,,LatLong Tools
Ridgeland,Mississippi,ridgeland_ms.csv,,,T_NAME,iTreeName,,T_GENUS,T_SPECIES,,DBH1,,,Long,Lat,F__OBJECTID,,,,,,,,,,CreationDate,EditDate,,,,,,
Rochester,New York,rochester_ny.csv,,,TREE_NAME_VAL,,,GENUS,SPECIES,,DBH_VAL,,,x,y,OBJECTID,,,,,,,,,,INV_DATE,,,,,,,LatLong Tools
Sandy Springs,Georgia,sandysprings_ga.csv,,,NAME,,,GENUS,SPECIES,Cultivar,DIAMETER,,,x,y,OBJECTID,HEIGHT,,,,,TREEAGE,CONDITION,,,CreationDate,EditDate,INSTALLDATE,,,,,LatLong Tools
Sanford,Florida,sanford_fl1.csv,,,TREE_SPECI_rep,TREE_SPECI,,,,,DBH,,,x,y,OBJECTID,HEIGHT,,,,,,HEALTH,,,,,,,,,,LatLongTools
Sanford,Florida,sanford_fl2.csv,,SPECIES_LA_rep,SPECIES_CO_rep,,,SPECIES_GE_rep,,,DBH_EXACT_rep,DBH_rep,,x,y,OBJECTID,TREE_HEIGH,HEIGHT_RAN,,,,,,,,,,,,,,,LatLongTools
Sarasota county,Florida,sarasota_fl.csv,,genusname,commonname,,,,,,diameterbreastheight,,,x,y,objectid,treeheight,,,,,,conditionrating,,,,,dateplanted,,,,,LatLongTools
Savannah,Georgia,savannah_ga.csv,,,NAME,,,,,,DBH,,,x,y,FID,,HEIGHT,,,,,CONDITION,,,DATE_CREAT,EDIT_DATE,PLANT_YR,,,,,LatLong Tools
Schaumburg,Illinois,schaumburg_il.csv,,SPP,SPPCOMMON,,,,,,DBH,DBH2,,X,Y,OBJECTID,,,,,,,COND,,,Inv_Date,,,,CANWIDTH,,,
Schenectady,New York,schenectady_ny.csv,,scientific,commonname,,,,,,dbh,,,longitude,latitude,fid,,,,,,,,,,lastmodifi,,,,,,,
Somerville,Massachusetts,somerville_ma.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,ObjectId,,,,,,,,,,,,,,,,,spp processed in R
South Elgin,Illinois,southelgin_il.csv,,SPP,CommonName,,,,,,DBH,,,x,y,OBJECTID,,,TRUNKS,,,,COND,RATING,PROBFAIL,Inv_Date,last_edited_date,,,,,,LatLong Tools
Springfield,Illinois,springfield_il.csv,,NAMELATIN,NAMECOMMON,,,,,VARIETY,DBH,,,x,y,OBJECTID,,,STEMS,,,,CONDITION,RISK_LEVEL,,created_date,last_edited_date,,TREE_STATUS,,,,"LatLong Tools, only status = 'ACTIVE TREE'"
Springfield,Massachusetts,springfield_ma.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,Trunks,,,,,,,Inventory_Date,,,,,,,
Starkville,Mississippi,starkville_ms.csv,,,T_NAME,,,T_GENUS,T_SPECIES,,DBH1,,,x,y,TREEID,,T_HEIGHT,,,,,T_CONDITION,T_RISK,,,,,,,,,LatLong Tools
Statewide,Indiana,state_in.csv,,SPECIES,COMMONNAME,,,GENUS,SPECIES,,DBH,DBHCLASS,,LONGITUDE,LATITUDE,ObjectId,,,,,,,,,,INVYEAR,,,,,,,
Statewide,Pennsylvania,state_pa.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,Cultivar,Diameter,,,Longitude,Latitude,ID_rep,,,,,,,,,,,,,City,,,,
Statewide,Vermont,state_vt.csv,,,SPECIES,,,,,,Diameter,,,Long,Lat,OBJECTID,,,,,,,ConditionID,,,CollectionDateTime,LastTreeInventoryDate,,,,,,
Statewide,Wisconsin,state_wi.csv,,latin_name,common_name,code,,,,cultivar,diameter_in,diameter_in_range,,longitude,latitude,primary_id,height_ft,height_ft_range,,,,,,,,inventory_yr,,,,,,,
St. Charles,Illinois,stcharles_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,,,,,,,
Sterling Heights,Michigan,sterlingheights_mi.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,Condition,,,Inventory_Date,Site_Last_Changed_On,Proposed_Planting_Year,,,,,
St. Louis (park),Missouri,stlouis_mo_P.csv,,Scientific_Name,Common_Names,,,Genus,,Cultivar,DBH,,,x,y,OBJECTID,,,,,,,Condition,Risk_Rating,,Data_Collected_Date,,,Status,,,,LatLong Tools
St. Louis (city),Missouri,stlouis_mo.csv,,,COMMON,,,,,,DBH,,,x,y,OBJECTID,,,,,,,CONDITION,,,,,,,,,,LatLong Tools
Syracuse,New York,syracuse_ny.csv,979539,SPP_BOT,SPP_COM,,,,,,DBH,,,LONGITUDE,LATITUDE,ID,,,,,,,,,,,,,,,,,
Tallahassee,Florida,tallahassee_fl.csv,2405563,BOTANICAL,COMMON,,,,,,EXACT_DBH,,,,,FACILITYID,EXACT_HGT,HEIGHT,,,,,CONDITION,,,GPSDATE,,,,,,,
Terre Haute,Indiana,terrehaute_in.csv,,LATIN_NAME,SPP_COM_rep,,FAMILY,GENUS,,VARIETY,DBH,,,X,Y,ID_rep,,,STEMS,,,,CONDITION,,,,,,,,,,
Toledo,Ohio,toledo_oh.csv,,,SpeciesFullName,,Species,,,,,DBH,,x,y,OBJECTID,,,,,,,,,,InventoryDate,,,,,,,NEEDS LATLONG
Tonawanda,New York,tonawanda_ny.csv,,,SpeciesType,,,,,,DBH,,,x,y,OBJECTID,,TreeHeight,,,,,Condition,,,DateLastUpdated,last_edited_date,,,,,,LatLongTools
Trenton,New Jersey,trenton_nj.csv,,,commonname,,,,,,diameter,,,x,y,OBJECTID,,,,,,,,,,created_date,last_edited_date,installdate,,,,,LatLong Tools
Urbana,Illinois,urbana_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,Tree_Height,Trunks,,,,,,,Inventory_Date,,,,,,,
Valparaiso,Indiana,valparaiso_in.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,Trunks,,,,Condition,,,,,,,,,,
Virginia Beach,Virginia,virginiabeach_va.csv,,ScientificName,CommonName,,,,,,DBH,,,Longitude,Latitude,FacilityID,,,,,,,Condition,,,,EditDate,,Status,,,,only existing trees
Washington,District of Columbia,washington_dc.csv,,SCI_NM,CMMN_NM,,FAM_NAME,GENUS_NAME,,,DBH,,,x,y,OBJECTID,,,,,,,CONDITION,,,,CONDITIODT,DATE_PLANT,,,,CROWN_AREA,LatLong Tools
Waukegan,Illinois,waukegan_il.csv,,LATIN,COMMON_NAME,,,,,VARIETY,DBH,,,x1,y1,OBJECTID,,,TRUNKS,,,,CONDITION,RISK,FAIL_LKLHD,INV_DATE,,PLANT_DATE,,,,,LatLong Tools
Weston,Florida,weston_fl.csv,,BOTNAME,NAME,BOTABBR,FAMILY,GENUS,SPECIES,,DIAMETER,,,x,y,OBJECTID,HEIGHT,,,,,,CONDITION,,,CREATEDDATE,LASTUPDATE,,,,,,LatLongTools
Wilmette,Illinois,wilmette_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,ID_rep,,,,,,,,,,,,,,,,,
Wilmington,North Carolina,wilmington_nc.csv,,SPP_BOT,SPP_COM,,,,,,DBH,,,LONGITUDE,LATITUDE,OBJECTID,,,STEMS,,,,CONDITION,RATING,FAIL,INV_DATE,,,,,,,
Lexington,Massachusetts,lexington_ma.csv,,Botanical,Common,,,,,,EXACT_DBH,DBH_Range,,Longitude,Latitude,Tree_ID,Exact_Heig,Height_Ran,,,,,Tree_Condi,,,Created_On,,,,,,,
