SPECIES,SPECIES_COM,gbif_usageKey,usda_fiadb_SPCD,CULTIVAR,DBH_cm,LON,LAT,city_filename,CITY,STATE,FIPS
Abies concolor,white fir,2685580,15,NA,5.08,-89.013738381732,40.497747226455,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,20.32,-89.0188003627,40.493465891,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,40.64,-89.004858003105,40.468413911564,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,15.24,-88.9495056425,40.4614728577,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,25.4,-88.9494752442,40.4615123118,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,22.86,-72.0312568921638,41.3495832001517,groton_ct.csv,Groton,Connecticut,0934250
Abies concolor,white fir,2685580,15,NA,22.86,-72.0310339955686,41.3496572261765,groton_ct.csv,Groton,Connecticut,0934250
Abies concolor,white fir,2685580,15,NA,45.72,-88.9703665639,40.4944095148,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,33.02,-72.0312430127662,41.3493964371198,groton_ct.csv,Groton,Connecticut,0934250
Abies concolor,white fir,2685580,15,NA,25.4,-72.0312262858974,41.3492098309812,groton_ct.csv,Groton,Connecticut,0934250
Abies concolor,white fir,2685580,15,NA,40.64,-88.9704282812,40.4943992122,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,7.62,-89.014743717925,40.497669897374,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,17.78,-72.0312438681556,41.3494938101229,groton_ct.csv,Groton,Connecticut,0934250
Abies concolor,white fir,2685580,15,NA,40.64,-88.979612093119,40.481521882389,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,33.02,-89.0052500509,40.4704464482,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,35.56,-89.004677853895,40.468410320379,bloomington_il.csv,Bloomington,Illinois,1706613
Abies concolor,white fir,2685580,15,NA,33.02,-72.0312237739719,41.349646611129,groton_ct.csv,Groton,Connecticut,0934250
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9818041778,40.4805351183,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.9625094779,40.499336426,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.921633697015,40.493621197821,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.921520293359,40.493602382346,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9203509973,40.4944334879,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,20.32,-88.9182457662,40.4947207548,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-89.0042213011,40.4494979402,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.9203459268,40.4943534769,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9215540394,40.4936127997,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9220769712,40.4957798721,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.9818124173,40.4803941058,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.918081581089,40.493031784213,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.9220452807,40.4957557729,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9636812705,40.4993157228,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.918315727329,40.494729423388,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9182404018,40.494622848,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-89.0055076997,40.449105605,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-89.0082629675,40.4784944057,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9203395887,40.4942281583,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.921360581433,40.493628721808,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,17.78,-88.9182350374,40.4946718014,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9203395887,40.4943149174,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9625944086,40.4993354621,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9817629801,40.4803760875,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.921463092359,40.493611540346,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9203383211,40.4942667179,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9817979981,40.4804787133,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-89.0047498994,40.4494198049,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-89.0039773264,40.4637459833,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.918087168746,40.493195815395,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-89.0046865183,40.4494429562,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-89.005482165418,40.448459246237,bloomington_il.csv,Bloomington,Illinois,1706613
